stop_id,stop_name,station_id,geo_cluster
B_0501641-SENTIMARAVILL,Octavio Senties - Maravillas,station_18_2,18
B_0501640-EJ8SPENITENCI,Eje 8 Sur Calz. Ermita Iztapalapa - Penitenciaria,station_18_3,18
B_0501640-EJ8S12MTRS,Eje 8 Sur Calz. Ermita Iztapalapa - 12 Metros,station_18_4,18
B_0501640-EJ8SBJUAREZ,Eje 8 Sur Calz. Ermita Iztapalapa - Benito Juárez,station_18_5,18
B_05162B1-EIZTSANTIAGO,Calz. Ermita Iztapalapa - Santiago,station_18_6,18
B_05162B1-EIZT5FEBRE,Calz. Ermita Iztapalapa - 5 de Febrero,station_18_7,18
B_0501611-CALZIZTAOSENT,Calz. Ermita Iztapalapa - Octavio Senties,station_18_1,18
B_040010-TECOLOXT,Tecoloxtitlán,station_19_0,19
B_05052C0-ERMTORRES,Calz. Ermita Iztapalapa - Av. las Torres,station_19_1,19
B_05046C1-EJ6SIZTAPALA,eje 6 Sur Av. de las Torres - Eje 8 Sur Calz. Ermita Iztapalapa ,station_19_1,19
B_0501640-EJ6SEJ8S,Eje 6 Sur Av. de las Torres - Eje 8 Sur Calz. Ermita Iztapalapa,station_19_1,19
B_0501611-CALZIZTAEJE6S,Calz. Ermita Iztapalapa - Eje 6 Sur Av. de las Torres,station_19_1,19
B_0501610-CALZIZTAEJE6S,Calz. Ermita Iztapalapa - Eje 6 Sur,station_19_2,19
B_040010-IZTAHUAT,Iztahuatzín,station_20_0,20
B_040010-ATZINTLI,Atzintlí,station_21_0,21
B_05161C0-MINASEJ8SIZTA,Camino a Minas - Eje 8 Sur Calz. Ermita Iztapalapa,station_21_1,21
B_0501611-CALZIZTAMINAS,Calz. Ermita Iztapalapa - Camino a Minas,station_21_1,21
B_0501610-CALZIZTAPALM,Calz. Ermita Iztapalapa - Las Palmas (Quebradora),station_21_2,21
B_040010-AZTAHUAC,Aztahuacán,station_22_0,22
B_05001D1-EIZTAREFURBAN,Calz. Ermita Iztapalapa - Reforma Urbana,station_22_1,22
B_05052C0-ERMJALISCO,Calz. Ermita Iztapalapa - Jalisco,station_22_2,22
B_0501591-CALZIZTAZACA,Calz. Ermita Iztapalapa - Zacapexco,station_22_3,22
B_0501591-CALZIZTAVOC7,Calz. Ermita Iztapalapa - Vocacional No. 7,station_22_4,22
B_0501591-CALZIZTAPALMI,Calz. Ermita Iztapalapa - Palmitas,station_22_2,22
B_0501591-PALMSALLENDE,Palmitas - Salvador Allende,station_22_5,22
B_0501590-PALMITASERMIT,Palmitas - Ermita Iztapalapa,station_22_2,22
B_0501590-CALZIZTAJALIS,Calz. Ermita Iztapalapa - Jalisco,station_22_2,22
B_0501590-CALZIZTALLANO,Calz. Ermita Iztapalapa - El Llano,station_22_6,22
B_040010-PAPALOTL,Papalotl,station_23_0,23
B_0501591-CALZIZTAPOZO,Calz. Ermita Iztapalapa - Pozos,station_23_1,23
B_0501590-CALZIZTATINAC,Calz. Ermita Iztapalapa - Tinacos,station_23_2,23
B_040010-MEYEHUAL,Meyehualco,station_24_0,24
B_0501591-CALZIZTACUIT,Calz. Ermita Iztapalapa - Cuitlahuac,station_24_1,24
B_0501590-CALZIZTA39,Calz. Ermita Iztapalapa - Calle 39,station_24_2,24
B_040010-DVOSTACRUZ,Dvo. Santa Cruz,station_25_0,25
B_05161C0-ERMITAMARILE,Calz. Ermita - Prof. Mariles,station_25_1,25
B_05161C0-ERMITALCABRER,Calz. Ermita - Luis Cabrera,station_25_2,25
B_05001D1-EIZTAJAVIERSM,Calz. Ermita Iztapalapa - Javier Santa María,station_25_3,25
B_05161E0-CALZITAHGO,Calz. Ermita Iztapalapa - Hidalgo,station_25_4,25
B_05161E0-CALZIZTACAMA,Calz. Ermita Iztapalapa - González Camarena,station_25_5,25
B_05161D1-IMALUCIOBLC,Ignacio Manuel Altamirano - Lucio Blanco,station_25_6,25
B_05161D1-IMAVERGEL,Ignacio Manuel Altamirano - Vergel,station_25_7,25
B_05161D1-HGOALTAMIRA,Hidalgo - Altamirano,station_25_8,25
B_05161D0-IMALUCIOBLC,Ignacio Manuel Altamirano - Lucio Blanco ,station_25_6,25
B_05161D0-IMACUAUHTE,Ignacio Manuel Altamirano - Cuauhtémoc,station_25_9,25
B_05161D0-IMAEJE8SUR,Ignacio Manuel Altamirano - Eje 8 Sur  Calz. Ermita Iztapalapa,station_25_10,25
B_0501611-CALZIZTAPEGA,Calz. Ermita Iztapalapa - Hotel Pegaso (Hidalgo),station_25_11,25
B_0501591-CALZIZTAMACU,Calz. Ermita Iztapalapa - Manuel Acuña,station_25_12,25
B_0501591-CALZIZTALTAM,Calz. Ermita Iztapalapa - Altamirano,station_25_13,25
B_0501590-CALZIZTA71,Calz. Ermita Iztapalapa - Calle 71,station_25_14,25
B_0501590-CALZIZTAMARIL,Calz. Ermita Iztapalapa - Profesor Mariles (2 de Abril),station_25_15,25
B_040010-CONST1917,Constitución de 1917,station_26_0,26
B_0100C401-CONTITUCION,Base Cetram Constitución,station_26_1,26
B_0100C400-CONSTITUCION,Base Constitución,station_26_1,26
B_0200L8-CONST1917,Constitución de 1917,station_26_0,26
B_05001D1-EIZTAC1917,Calz. Ermita Iztapalapa - Metro Constitución de 1917,station_26_2,26
B_05052C0-ERMCONST1917,Calz. Ermita Iztapalapa - Metro Constitución de 1917,station_26_2,26
B_05165A0-C1917CEIZTAPA,C. C. Constitución de 1917 - Calz. Ermita Iztapalapa Entre Hortencia y Periferico,station_26_3,26
B_05161D0-CALZIZTAROJA,Calz. Ermita Iztapalapa - Manuel Rojas,station_26_4,26
B_0501590-CONST1917AND,C. C. Metro Constitución de 1917 - Cetram Constitución de 1917 Anden B,station_26_5,26
B_0800L2-CONST1917,Constitución de 1917,station_26_0,26
B_0100L1-PANTITLAN,Pantitlán,station_27_0,27
B_010C1120-METROPANTITL,Base Metro Pantitlan,station_27_0,27
B_010C1110-EJ1NAUDENAR,Eje 1 Norte Manuel Lebrija - Simón Audenaro,station_27_1,27
B_010C1100-METROPANTITL,Base Metro Pantitlán,station_27_0,27
B_010C1960-LEBRILMATEOS,Miguel Lebrija - Adolfo López Mateos,station_27_2,27
B_010C1900-CETRAMPANTIT,Base Cetram Pantitlan,station_27_0,27
B_0200LA-PANTITLAN,Pantitlán,station_27_0,27
B_0200L9-PANTITLAN,Pantitlán,station_27_0,27
B_0200L5-PANTITLAN,Pantitlán,station_27_0,27
B_0200L1-PANTITLAN,Pantitlán,station_27_0,27
B_0300L4-PANTITLAN,Pantitlán,station_27_0,27
B_0400L2-PANTITLAN,Pantitlán,station_27_0,27
B_0501680-CETRAMPANTITL,Cetram Pantitlán,station_27_0,27
B_03SL09-PANTIASC,Pantitlán,station_27_0,27
B_03SL09-PANTIDESC,Pantitlán,station_27_0,27
B_090R11-PFILOSOFIA,Posgrado de Filosofía,station_28_0,28
B_090R11-AAPAUNAM,AAPAUNAM,station_29_0,29
B_090R11-DIRGRALOBRAS,Dirección General de Obras y Proveeduría,station_30_0,30
B_090R11-RELABORALES,Relaciones Laborales,station_31_0,31
B_0900R6-BASESTADOLIM,Base Estadio Olímpico,station_31_1,31
B_01021B01-ESTADIOCU,Estadio CU (BASE),station_31_2,31
B_0900R8-IIMAS,IIMAS,station_32_0,32
B_0900R1-FQUIMICA,Facultad de Química,station_32_1,32
B_0900R8-FRONTONES,Frontones,station_33_0,33
B_0900R8-INGENIERIA,Ingeniería,station_33_1,33
B_0900R1-FINGENIERIA,Facultad de Ingeniería,station_33_2,33
B_0900R1-ENALLT,ENALLT (CELE),station_33_3,33
B_0900R8-ALBERCA,Alberca,station_34_0,34
B_0900R8-CTROMEDICO,Centro Médico,station_34_1,34
B_0900R6-MUCA,MUCA,station_34_2,34
B_0900R1-FARQUITECTU,Facultad de Arquitectura,station_34_3,34
B_0900R6-CNOVERDE,Camino Verde,station_35_0,35
B_0900R2-FCIENCIASPRO,Facultad de Ciencias Profesores,station_35_1,35
B_0900R6-ANEXOINGENI,Anexo de Ingeniería,station_36_0,36
B_0900R6-ICIENTIFICA,Investigación Científica,station_36_1,36
B_0900R6-INVERNADERO,Invernadero,station_37_0,37
B_0900R6-CIENCIASMAR,Ciencias del Mar,station_37_1,37
B_0900R6-MBCU,Metrobús CU,station_38_0,38
B_0900R6-IBIOMEDICAS,Investigaciones Biomédicas,station_38_1,38
B_0900R2-EDUCADISTANC,Educación a Distancia,station_38_2,38
B_0900R2-MBCU,Metrobús CU,station_38_3,38
B_0900R2-BASEMBCU,Base Metrobús CU,station_38_3,38
B_0900R2-TRABAJOSOCI,Escuela de Trabajo Social,station_38_4,38
B_0300L1-CU,Ciudad Universitaria,station_38_5,38
B_0900R6-PUMITAS2,Pumitas,station_39_0,39
B_0900R6-PUMITAS,Pumitas,station_39_0,39
B_0900R6-PISTACALEN2,Pista de Calentamiento II,station_40_0,40
B_0900R6-PISTACALEN,Pista de Calentamiento I,station_40_0,40
B_0900R6-ESTACIONAMT2,Estacionamiento 2,station_41_0,41
B_0900R6-ESTACIONAMT3,Estacionamiento 3,station_42_0,42
B_0900R6-ESTACIONAMT4,Estacionamiento 4,station_43_0,43
B_0900R6-ESTACIONAMT6,Estacionamiento 6,station_43_0,43
B_0900R6-ESTACIONAMT7,Estacionamiento 7,station_44_0,44
B_0900R6-ESTACIONMT8,Estacionamiento 8,station_45_0,45
B_0900R5-FPSICOLOGIA,Facultad de Psicología,station_46_0,46
B_0900R5-FILOSOFIA,Filosofía,station_46_1,46
B_0900R1-FILOSOFIA,Facultad de Filosofía,station_46_2,46
B_0900R1-PSICOLOGIA,Psicología,station_46_3,46
B_0900R5-DERECHO,Derecho,station_47_0,47
B_0900R5-AVUNIVERSIDAD,Av. Universidad,station_47_1,47
B_0900R1-FDERECHO,Facultad de Derecho,station_47_2,47
B_05034B0-UNIVERSIDUNAM,Av. Universidad - UNAM,station_47_3,47
B_0501251-SUPERAMA,Superama y Puente Peatonal,station_47_4,47
B_05123A1-UNIDADHABITA,Unidad Habitacional,station_47_5,47
B_05123A0-PSICOLOGIA,Psicología,station_47_6,47
B_0400L7-PSICOLOGIA,Psicología,station_47_6,47
B_0400L7-RETCOPILCO,Retorno Copilco,station_47_7,47
B_0900R5-ECONOMIA,Economía,station_48_0,48
B_0900R1-FECONOMIA,Facultad de Economía,station_48_1,48
B_0900R5-ODONTOLOGIA,Odontología,station_49_0,49
B_0900R5-MEDICINA,Medicina,station_49_1,49
B_0900R1-FODONTOLOG,Facultad de Odontología,station_49_2,49
B_0900R4-CAMPOSFUT2,Campos de Futbol II,station_50_0,50
B_0900R4-CAMPOSFUT1,Campos de Futbol I,station_50_0,50
B_0900R4-JARDINBOTANIC,Jardín Botánico,station_51_0,51
B_0900R4-ESTADIOPRACT,Estadio de Prácticas,station_52_0,52
B_0900R3-CHUMANIDADES,Coordinación de Humanidades,station_53_0,53
B_0900R3-IFILOLOGICAS,Investigaciones Filológicas,station_53_1,53
B_0900R3-IFILOSOFICAS,Investigaciones Filosóficas,station_53_1,53
B_0900R3-AVIMAN,Av. Imán,station_54_0,54
B_040L12-CEFIRO1,Cefiro,station_54_1,54
B_040L12-CEFIRO0,Cefiro,station_54_1,54
B_0900R3-ARCHIVGRAL,Archivo General,station_55_0,55
B_0900R3-DGAPA,DGAPA,station_56_0,56
B_0900R3-UNIVERSUM,Universum,station_56_1,56
