station_id,agency_id,lat,lon,stop_name
station_1094_0,CC,19.407805000000003,-99.18741,Gob. Agustín V. Eguia y Gob. J. Cortina
station_1095_1,METRO,19.4084,-99.0913525,Viaducto y Puerta 5
station_1095_1,TROLE,19.4084,-99.0913525,Viaducto y Puerta 5
station_1095_1,CC,19.4084,-99.0913525,Viaducto y Puerta 5
station_1096_0,CC,19.40881,-99.09565,Viaducto y Puerta 4
station_1097_0,CC,19.40547,-99.0972,Río Churubusco y Puerta 10
station_1098_0,CC,19.403480000000002,-99.10113,Añil y Palacio de los Deportes
station_1098_0,TROLE,19.403480000000002,-99.10113,Añil y Palacio de los Deportes
station_1098_1,CC,19.40409,-99.10133,Añil y Puerta 6
station_1099_0,CC,19.408305,-99.104885,Av. Morelos y Radames TreviNo
station_1099_1,TROLE,19.408585000000002,-99.10481999999999,Velódromo
station_109_0,MB,19.38632,-99.11168,Colegio de Bachilleres 3
station_10_0,RTP,19.30505,-99.23748,José Moreno Salido
station_10_1,RTP,19.30475,-99.23724,La Estación
station_1100_0,CC,19.408324999999998,-99.10924,Av. Morelos y Fernando Iglesias
station_1100_1,TROLE,19.40839,-99.10898,Fernando Iglesias
station_1101_1,METRO,19.408354,-99.112988,Av. Morelos y Fco. del Paso y Troncoso
station_1101_1,CC,19.408354,-99.112988,Av. Morelos y Fco. del Paso y Troncoso
station_1101_1,MB,19.408354,-99.112988,Av. Morelos y Fco. del Paso y Troncoso
station_1101_1,TROLE,19.408354,-99.112988,Av. Morelos y Fco. del Paso y Troncoso
station_1102_0,CC,19.408625,-99.1156,Av. Morelos e Industria
station_1102_1,TROLE,19.40872,-99.11568,Industria
station_1103_0,CC,19.40888,-99.12706,Chabacano y La Viga
station_1103_1,CC,19.40871,-99.12769,Andrés Molina y Chabacano
station_1103_2,CC,19.40921,-99.12762,La Viga y Fco. Alegre
station_1103_3,CC,19.40903,-99.12648,Av. Morelos y La Viga
station_1103_4,RTP,19.40896,-99.12759,Eduardo Molina  - Eje 3 Sur Av. Morelos
station_1103_5,RTP,19.40902,-99.12766,Calz. de la Viga - Chabacano
station_1104_0,CC,19.40862000000001,-99.13057,Chabacano y Oriente 67
station_1104_1,CC,19.40874,-99.131205,Calz. Chabacano y José Sotero
station_1104_1,RTP,19.40874,-99.131205,Calz. Chabacano y José Sotero
station_1104_2,CC,19.40889,-99.12974,Calz. Chabacano y Topacio
station_1104_3,RTP,19.40999,-99.12992,Juan Antonio Mateos - Topacio
station_1105_0,CC,19.40757,-99.13783,José Peon Contreras y 5 de Febrero
station_1106_0,CC,19.395933333333332,-99.08100999999999,Oriente 229 y Sur 16
station_1107_0,CC,19.39873,-99.08045,Oriente 229 y Sur 12
station_1108_0,CC,19.38965,-99.0352,Ángel Trías y Juan Crisotomo
station_1109_0,CC,19.38351,-99.03918,Av. Guelatao y Enrique Contel
station_110_0,MB,19.393839999999997,-99.113625,Recreo
station_1110_0,CC,19.38483,-99.04123,Enrique Contel y Emilio Azcárraga
station_1111_0,CC,19.3863,-99.04443,Enrique Contel y Emilio Balli
station_1112_0,CC,19.3875,-99.0472,Enrique Contel y Av. Telecomunicación
station_1113_0,CC,19.39038,-99.04724,Priv. de León Loyola y CETRAM Tepalcates
station_1113_1,CC,19.390875,-99.04831,Priv. de León Loyola y Antonio de León Loyola
station_1113_2,MB,19.39104,-99.04680333333333,Tepalcates
station_1113_2,METRO,19.39104,-99.04680333333333,Tepalcates
station_1113_2,TROLE,19.39104,-99.04680333333333,Tepalcates
station_1113_3,RTP,19.39081,-99.04647,Calz. Ignacio Zaragoza - Metro Tepalcates
station_1113_4,RTP,19.39171,-99.04802,Calz. Ignacio Zaragoza - Av. General Antonio de León
station_1113_5,RTP,19.39196,-99.04856,Calz. Ignacio Zaragoza - Fray Jesús Almanza
station_1113_6,RTP,19.39227,-99.04745,Calz. Ignacio Zaragoza - Francisco García Salinas
station_1114_0,CC,19.38963,-99.04993,José Arrese y Mina
station_1114_1,CC,19.38852,-99.05058,José Arrese y Miguel Hidalgo
station_1114_2,CC,19.38737,-99.05045,Constitución de Apatzongan y 2do semáforo
station_1115_0,CC,19.3854,-99.05246,José Arrese y Constitución de Apatzingan
station_1115_1,CC,19.38496,-99.05216,Constitución de Apatzingan y Antonio de León Loyola
station_1115_2,MB,19.38538,-99.05173,General Antonio de León
station_1116_0,CC,19.387059999999998,-99.055185,Constitución de Apatzingan y Aldama
station_1116_1,CC,19.387815,-99.056315,Constitución de Apatzingan y frente a la panadería León
station_1116_2,CC,19.38842,-99.05543,Revolución y Santa Teresa
station_1117_0,CC,19.392767142857142,-99.06253428571428,Oriente 257 y Sur 16
station_1117_1,CC,19.39202,-99.06181,Oriente 259 y Priv. Oriente 259
station_1117_2,CC,19.39316,-99.06413,Sur 16 y Sur 12C
station_1118_0,CC,19.395635,-99.06254,Oriente 257 y Sur 12
station_1119_0,CC,19.39828,-99.061995,Oriente 257 y Sur 8
station_111_0,MB,19.42642,-99.11159333333335,Moctezuma
station_111_1,CC,19.42602,-99.11116,Eje 3 Oriente Francisco del Paso y Troncoso - Unidad Anaranjada
station_111_2,METRO,19.42685,-99.1098,Moctezuma
station_111_3,CC,19.426626,-99.110422,Calz. Ignacio Zaragoza y 4 de Ignacio Zaragoza
station_1120_0,CC,19.398785,-99.06447,Sur 8 y Oriente 253
station_1121_0,CC,19.399189999999997,-99.06701,Sur 8 y Oriente 249
station_1122_0,CC,19.399605,-99.069575,Sur 8 y Oriente 245
station_1123_0,CC,19.40032,-99.07181,Sur 8 y Javier Rojo Gómez
station_1123_1,CC,19.4,-99.07239,Sur 8 y Rojo Gómez
station_1124_0,CC,19.400579999999998,-99.07466,Sur8 y Oriente 237
station_1125_0,CC,19.400870000000005,-99.07743500000001,Sur 8 y Oriente 233
station_1126_0,CC,19.40126,-99.079285,Sur 8 y Oriente 229
station_1127_0,CC,19.40589,-99.0787,Río Churubusco y Sur 2A
station_1127_1,CC,19.40676,-99.07872,Viaducto y Churubusco
station_1128_0,CC,19.39078,-99.03713,La Valenciana (base)
station_1128_1,CC,19.39126,-99.03742,Av. Texcoco y Francisco Leyva
station_1129_0,CC,19.39266,-99.04046,Av. Texcoco y Domingo Arellano
station_112_1,MB,19.4304694,-99.11489,San Lázaro Sur
station_112_1,METRO,19.4304694,-99.11489,San Lázaro Sur
station_112_1,CC,19.4304694,-99.11489,San Lázaro Sur
station_112_3,MB,19.43112,-99.11543,San Lázaro
station_112_4,CC,19.430973,-99.115451,Eje 3 Ote. Ing Eduardo Molina y MB San Lázaro
station_112_5,CC,19.429285,-99.115493,Av. Eduardo Molina y Calz. Ignacio Zaragoza
station_1130_0,CC,19.39374,-99.04338,Benito S. Zenea y Texcoco
station_1131_0,CC,19.38906,-99.04632,Av. Telecomunicaciones e ISSSTE
station_1132_0,CC,19.40409,-99.07824,Oriente 229 y Sur 4
station_1133_0,CC,19.42501,-99.18799,Paseo de la Reforma y Zoológico 2
station_1133_1,CC,19.42546,-99.18854,Paseo de la Reforma y Museo de Antropología II
station_1134_0,CC,19.42537,-99.19032,Paseo de la Reforma y Zoológico
station_1134_1,CC,19.42589,-99.19335749999999,Paseo de la Reforma y Auditorio Nacional
station_1134_1,RTP,19.42589,-99.19335749999999,Paseo de la Reforma y Auditorio Nacional
station_1134_2,CC,19.42587,-99.19152,Paseo de la Reforma y Rubén Darío
station_1134_3,METRO,19.425856666666665,-99.19300666666668,Auditorio
station_1134_3,MB,19.425856666666665,-99.19300666666668,Auditorio
station_1134_4,RTP,19.42555,-99.19163,Paseo de la Reforma - Ruben Dario y Calz. Chivatito
station_1135_0,CC,19.42646,-99.1977,Paseo de la Reforma y Anatole France
station_1135_1,CC,19.42672,-99.19689,Paseo de la Reforma y Julio Verne
station_1136_0,CC,19.46296,-99.22348,Blvd. Manuel Avila C. y Nuevo México
station_1137_0,CC,19.46574,-99.22469000000001,Blvd. Manuel Avila C. y Las Torres y 1 de Mayo
station_1138_0,CC,19.46985,-99.22707,Blvd. Manuel Avila C. y Gral. Candido Aguilar
station_1138_1,CC,19.46981,-99.22654,Blvd. Manuel Avila C. y Gral. Agustín Millan
station_1139_0,CC,19.473475,-99.22871,Blvd. Manuel Avila C. y 16 de Septiembre
station_113_0,MB,19.45364,-99.10844,Río Consulado
station_113_2,CC,19.454417,-99.108127,Eje 3 Ote. Ing Eduardo Molina y Oriente 83
station_113_3,CC,19.452153,-99.109268,Eje 3 Ote. Ing Eduardo Molina y Calle Platino
