geo_cluster,n_stops,n_station_ids_tras_paso2,n_agencias,agencias,nombres
1579,4,3,2,"['RTP', 'TROLE']","['Emiliano Zapata - Plutarco Elias Calles', 'Emiliano Zapata y Mpo. Libre - Miravalle', 'Emiliano Zapata y Mpo. Libre - Plutarco Elias Calles', 'Plutarco Elías Calles']"
962,4,3,2,"['CC', 'RTP']","['Cipres - Eulalia Guzman', 'Eulalia Gúzman y Naranjo', 'Pino - Eulalia Gúzman']"
992,4,3,2,"['CC', 'RTP']","['Calz. Ermita Iztapalapa - Av. Tláhuac', 'Ermita I. y Toltecas', 'Ermita y Av. Tláhuac']"
973,4,2,2,"['CC', 'RTP']","['Calz. San Isidro y Renacimiento', 'Renacimiento']"
1373,4,2,2,"['MB', 'TROLE']","['Constancia', 'Tlatelolco', 'Tres Culturas']"
1364,4,2,3,"['CC', 'METRO', 'RTP']","['CETRAM Observatorio', 'Observatorio', 'Sur 122 y Minas de Arena']"
706,4,2,2,"['CC', 'RTP']","['Marina Nacional  - Lago Xochimilco', 'Marina Nacional - Laguna de Términos']"
753,4,3,2,"['CC', 'RTP']","['Av. 503', 'Av. 503 y Av. 508', 'Av. 508 - Av. 503', 'Calle 503']"
262,4,4,2,"['CC', 'RTP']","['Jaime Nuno', 'Morelos', 'Punto 41', 'Zacatecas']"
1946,4,3,2,"['CC', 'RTP']","['Circuito Interior - Av. Universidad', 'Rio Churubusco y Universidad', 'Rio Mixcoac y Universidad']"
1919,4,3,2,"['CC', 'RTP']","['Abel y Sara', 'Av. Ferrocarril Hidalgo - Abel', 'Av. Ferrocarril Hidalgo - Oriente 91', 'Sara y Abel']"
1918,4,2,2,"['CC', 'RTP']","['Av. Ferrocarril Hidalgo - Henry Ford', 'Av. Henry Ford y Sara', 'Sara y Av. Henry Ford']"
1343,4,3,2,"['METRO', 'RTP']","['Colector 13', 'Lindavista', 'Ricarte']"
1341,4,2,3,"['METRO', 'RTP', 'TROLE']","['Calzada Guadalupe', 'Calzada de Guadalupe', 'La Villa y Basílica', 'Moctezuma']"
997,4,2,2,"['CC', 'RTP']","['Calz. Ermita Iztapalapa - Sur 73', 'Ermita y Sur 73']"
1330,4,3,2,"['METRO', 'RTP']","['Acatitla', 'Calz. Ignacio Zaragoza - Metro Acatitla', 'Calz. Ignacio Zaragoza- Metro Acatitla y Amador Salazar']"
1313,4,2,2,"['METRO', 'TROLE']","['Adolfo Prieto', 'Hospital 20 de Noviembre']"
1604,4,4,3,"['CC', 'RTP', 'TROLE']","['División del Norte', 'Hidalgo', 'Sobre Av. División del Norte y Heroes del 47', 'Sobre Av. División del Norte y Miguel Hidalgo']"
1602,4,2,2,"['CC', 'TROLE']","['América', 'Sobre Av. División del Norte y América']"
392,4,2,2,"['CC', 'RTP']","['Paseo de las Palmas - Cobre de Perote', 'Paseo de las Palmas - Cofre de Perote', 'Paseo de las Palmas - Sierra Ventana']"
370,4,2,2,"['CC', 'RTP']","['Frente a Talleres Estrella Blanca', 'Templo Diana ', 'Templo de Diana']"
684,4,3,2,"['CC', 'RTP']","['Av. Chapultepec - Merida', 'Av. Chapultepec - Napoles', 'Av. Chapultepec - Nápoles', 'Eje 1 Sur Av. Chapultepec - Mérida']"
672,4,3,2,"['CC', 'TROLE']","['Eje 2A Sur San Luis Potosi - Orizaba', 'Orizaba', 'Querétaro y Orizaba']"
670,4,3,2,"['CC', 'TROLE']","['Bolívar', 'Eje 2A Sur Manuel Payno - Bolivar ', 'Manuel J. Othon y Bolivar']"
416,4,2,2,"['CC', 'RTP']","['Paseo de la Reforma - Explanada', 'Paseo de la Reforma - Explanada II', 'Paseo de la Reforma - Sierra Bacatete', 'Paseo de la Reforma - Sierra del Bocatete']"
410,4,2,2,"['CC', 'MB']","['Gandhi', 'Paseo de la Reforma - Gandhi', 'Paseo de la Reforma y Gandhi']"
403,4,2,2,"['CC', 'RTP']","['Paseo de la Reforma - Rivera de Cupia', 'Rivera de Cupia']"
1885,4,4,2,"['CC', 'RTP']","['Av. Revolución', 'Eje 10 Sur - Av. Revolución', 'Revolución y Puente San Jerononimo', 'San Jerónimo']"
